Compound: TPCN05289
SMILES:   CC(C)(O)C1CCC(C)(C2C(O)CC3(C)C4CC(OC5OCC(O)C(O)C5O)C7C(C)(C)C(OC6OCC(O)C(O)C6OC8OCC(O)C(O)C8O)CCC79CC49CCC23C)O1

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        P1         0,1,2,3              C,C,C,O              1            72.0     -0.9449  0.2488   -0.1157 
1        TN4a       4,61                 C,O                  3            36.0     -0.7210  0.2019   -0.0804 
2        SC3        5,6                  C,C                  2            54.0     -0.6479  0.3170   0.0574  
3        N6         7,8,9,10,11          C,C,C,C,O            3            72.0     -0.5669  0.0150   0.0058  
4        SC3        12,13,14,59,60       C,C,C,C,C            3            54.0     -0.3390  0.0398   -0.1941 
5        SC4        15,56                C,C                  4            54.0     -0.1128  0.0013   -0.0605 
6        SN6        16,17,18             C,C,O                3            54.0     -0.0780  -0.1942  0.1101  
7        SN4a       19,20,21             C,O,C                3            54.0     0.0575   -0.4687  0.1847  
8        TN6        22,23                C,O                  2            36.0     0.0338   -0.6572  -0.0070 
9        TN6        24,25                C,O                  2            36.0     -0.1107  -0.5031  -0.0188 
10       TN6        26,27                C,O                  2            36.0     -0.1693  -0.5201  0.2146  
11       SC4        28,54,55             C,C,C                4            54.0     0.0589   0.0270   0.0227  
12       SC4        29,30,31             C,C,C                2            54.0     0.1984   -0.0508  0.2852  
13       SC3        32,52,53             C,C,C                3            54.0     0.2434   -0.1102  0.0163  
14       TN6        33,34                O,C                  3            36.0     0.4033   0.0898   0.0807  
15       TN4a       35,36                O,C                  2            36.0     0.4431   0.2893   0.0650  
16       TN6        37,38                C,O                  2            36.0     0.4819   0.3450   -0.1673 
17       SN6        39,40,41             C,O,C                3            54.0     0.4963   0.1173   -0.1235 
18       TN6        42,43                O,C                  3            36.0     0.7463   0.0872   -0.0246 
19       TN4a       44,45                O,C                  2            36.0     0.9194   0.1467   -0.1656 
20       TN6        46,47                C,O                  2            36.0     1.1334   0.0550   -0.1095 
21       N5         48,49,50,51          C,O,C,O              2            72.0     0.9385   0.0348   0.0823  
22       TC3        57,58                C,C                  2            36.0     -0.2028  0.1938   -0.0028 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        3        1.0     
2        3        1.0     
3        4        1.0     
4        5        1.0     
4        22       1.0     
5        6        1.0     
5        11       1.0     
5        22       1.0     
6        7        1.0     
6        11       1.0     
7        8        1.0     
7        10       1.0     
8        9        1.0     
9        10       1.0     
11       12       1.0     
11       13       1.0     
12       13       1.0     
13       14       1.0     
14       15       1.0     
14       17       1.0     
15       16       1.0     
16       17       1.0     
17       18       1.0     
18       19       1.0     
18       21       1.0     
19       20       1.0     
20       21       1.0     
