Compound: cabazitaxel
SMILES:   CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2                C,C,C                3            54.0     0.0547   -0.1939  -0.2128 
1        SN3a       3,4,5                C,C,O                3            54.0     -0.2211  -0.2135  -0.2892 
2        SC4        6,11,57              C,C,C                4            54.0     -0.4017  -0.1743  -0.1000 
3        TC3        7,8                  C,C                  3            36.0     -0.5631  -0.0902  -0.2196 
4        TC5        9,10                 C,C                  4            36.0     -0.5712  -0.0246  -0.0003 
5        N3a        12,40,41,42          C,O,C,O              3            72.0     -0.2075  0.0075   0.2092  
6        TN6        13,39                C,O                  3            36.0     -0.1400  -0.1753  -0.0105 
7        SC4        14,15,16             C,C,C                2            54.0     -0.0503  0.0650   -0.0955 
8        TC3        17,18                C,C                  3            36.0     0.0532   -0.1879  0.0396  
9        SN3a       19,20,21             O,C,O                2            54.0     0.2613   -0.2366  0.1229  
10       TP1d       22,38                C,O                  2            36.0     0.4812   -0.2717  0.1815  
11       TN3        23,30                C,N                  3            36.0     0.5059   -0.0326  0.1370  
12       TC5        24,25                C,C                  3            36.0     0.3560   0.0046   0.2973  
13       TC5        26,27                C,C                  2            36.0     0.2417   0.0756   0.4592  
14       TC5        28,29                C,C                  2            36.0     0.4261   -0.0176  0.4940  
15       SN3a       31,32,33             C,O,O                2            54.0     0.6576   0.0276   -0.0333 
16       SC2        34,35,36,37          C,C,C,C              1            54.0     0.7755   0.1641   -0.2061 
17       TC5        43,44                C,C                  3            36.0     -0.1468  0.2147   0.3978  
18       TC5        45,46                C,C                  2            36.0     -0.1236  0.4076   0.4787  
19       TC5        47,48                C,C                  2            36.0     -0.1898  0.3842   0.2812  
20       TN4a       49,50                C,O                  1            36.0     -0.6303  -0.1237  0.0896  
21       SP1        51,52,53,54          O,C,O,C              1            54.0     -0.5834  0.1877   0.1768  
22       TP1d       55,56                O,C                  1            36.0     -0.5114  -0.1347  -0.4285 
23       TP1d       58,59                O,C                  1            36.0     -0.0752  -0.1491  -0.4789 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        7        1.0     
0        8        1.0     
1        2        1.0     
1        23       1.0     
2        3        1.0     
2        4        1.0     
2        5        1.0     
3        4        1.0     
3        22       1.0     
4        20       1.0     
4        21       1.0     
5        6        1.0     
5        17       1.0     
6        7        1.0     
6        8        1.0     
8        9        1.0     
9        10       1.0     
10       11       1.0     
11       12       1.0     
11       15       1.0     
12       13       1.5     
12       14       1.5     
13       14       1.5     
15       16       1.0     
17       18       1.5     
17       19       1.5     
18       19       1.5     
