Compound: TPCN05237
SMILES:   CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC7OC(CO)C(O)C(O)C7O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(O)C1O

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,2,3              C,C,C,C              2            54.0     0.8643   -0.0707  0.0334  
1        SC4        4,51,52              C,C,C                4            54.0     0.6529   0.1164   -0.1093 
2        SC4        5,47,48              C,C,C                4            54.0     0.4177   0.0713   0.0813  
3        TC3        6,7                  C,C                  2            36.0     0.3592   -0.1050  -0.0865 
4        SC4        8,45,46              C,C,C                4            54.0     0.2320   0.0990   -0.0725 
5        SC4        9,10,42              C,C,C                4            54.0     0.0807   -0.0664  0.1333  
6        TC3        11,12                C,C                  2            36.0     -0.0787  -0.1530  -0.0189 
7        SN6        13,14,38,39          C,O,C,C              4            54.0     -0.2172  -0.0624  0.1726  
8        SN4a       15,16,17             C,O,C                4            54.0     -0.5065  -0.2232  0.1681  
9        SN4a       18,19,20             C,O,O                1            54.0     -0.5770  -0.4018  0.3800  
10       TN6        21,22                C,O                  2            36.0     -0.5920  -0.4143  0.0876  
11       TN6        23,24                C,O                  2            36.0     -0.7325  -0.2510  -0.0151 
12       TN6        25,26                C,O                  3            36.0     -0.5497  -0.1305  -0.0793 
13       SN4a       27,28,29             C,O,C                4            54.0     -0.7287  -0.0177  -0.2344 
14       TN2a       30,31                C,O                  1            36.0     -0.9878  0.0419   -0.1976 
15       TN6        32,33                C,O                  2            36.0     -0.8366  0.2011   -0.3450 
16       TN6        34,35                C,O                  2            36.0     -0.7282  0.2286   -0.1636 
17       TN6        36,37                C,O                  2            36.0     -0.5468  0.1345   -0.1290 
18       TN2a       40,41                C,O                  1            36.0     -0.2598  0.1523   0.1602  
19       TC3        43,44                C,C                  2            36.0     0.0759   0.1969   0.0591  
20       TC3        49,50                C,C                  2            36.0     0.5150   0.2750   -0.0030 
21       N5         53,54,55,56          C,O,C,O              2            72.0     0.9074   0.1916   -0.0603 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        21       1.0     
1        2        1.0     
1        20       1.0     
1        21       1.0     
2        3        2.0     
2        4        1.0     
2        20       1.0     
3        4        1.0     
4        5        1.0     
4        19       1.0     
5        6        1.0     
5        7        1.0     
5        19       1.0     
6        7        1.0     
7        8        1.0     
7        18       1.0     
8        9        1.0     
8        10       1.0     
8        12       1.0     
10       11       1.0     
11       12       1.0     
12       13       1.0     
13       14       1.0     
13       15       1.0     
13       17       1.0     
15       16       1.0     
16       17       1.0     
