Compound: TPCN02192
SMILES:   C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)[O-])C1Cc4c5[nH]c3ccccc3c5cc[n+]4C

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC5        0,1                  C,C                  1            36.0     0.0031   0.3067   -0.2146 
1        TC3        2,22                 C,C                  4            36.0     0.0886   0.1380   -0.0511 
2        TN4a       3,16                 C,O                  3            36.0     -0.1032  0.0979   0.0385  
3        TN6        4,5                  O,C                  3            36.0     -0.2625  0.1228   -0.0911 
4        TN4a       6,7                  O,C                  3            36.0     -0.4376  -0.0251  -0.0556 
5        TN2a       8,9                  C,O                  1            36.0     -0.5069  -0.2213  -0.0613 
6        TN6        10,11                C,O                  2            36.0     -0.6678  0.0581   -0.0541 
7        N5         12,13,14,15          C,O,C,O              2            72.0     -0.4967  0.2192   -0.2014 
8        TC5        17,18                C,C                  3            36.0     0.0262   -0.0646  0.0028  
9        SN4a       19,20,21             C,O,O                1            54.0     0.1256   -0.2549  -0.0825 
10       TC4        23,24                C,c                  3            36.0     0.2991   0.0663   0.0761  
11       TC5        25,33                c,c                  4            36.0     0.4219   -0.1395  0.1386  
12       TN6d       26                   n                    2            36.0     0.2686   -0.1582  0.2158  
13       TC5        27,32                c,c                  4            36.0     0.3849   -0.2847  0.2311  
14       TC5        28,29                c,c                  2            36.0     0.2949   -0.4333  0.3459  
15       TC5        30,31                c,c                  2            36.0     0.4932   -0.4581  0.2726  
16       TC5        34,35                c,c                  2            36.0     0.5892   -0.0797  0.0328  
17       TC4        36,37                n,C                  2            36.0     0.4793   0.1284   -0.0289 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        8        1.0     
1        10       1.0     
2        3        1.0     
2        8        1.0     
3        4        1.0     
3        7        1.0     
4        5        1.0     
4        6        1.0     
6        7        1.0     
8        9        1.0     
10       11       1.5     
10       17       1.5     
11       12       1.5     
11       13       1.5     
11       16       1.5     
12       13       1.5     
13       14       1.5     
13       15       1.5     
14       15       1.5     
16       17       1.5     
