bead,avg_error,CAS_list
SC5,1.955784705882352,105-46-4;108-10-1;108-21-4;109-49-9;110-19-0;15962-47-7;22715-68-0;23361-38-8;4033-40-3;591-78-6;66-25-1;75-97-8;7606-79-3;84652-30-2;88-15-3;927-68-4;97-69-8
N6,1.4238,142-84-7;37174-09-7;56-12-2;56-85-9;60-32-2;660-88-8;80-60-4
C1,1.3926552631578943,106-97-8;109-52-4;111-25-1;111-26-2;111-27-3;116-53-0;123-86-4;142-62-1;1436-34-6;463-82-1;544-10-5;591-78-6;624-24-8;626-93-7;638-45-9;66-25-1;73-32-5;927-62-8;96-14-0
TN5,0.9916066666666666,102-71-6;107-15-3;109-76-2;111-42-2;124-02-7;141-43-5;23361-38-8;4597-87-9;556-50-3;56-45-1;5666-21-7;6600-40-4;73-32-5;760-78-1;7606-79-3
SN6,0.9579545833333335,1007-28-9;107-97-1;109-76-2;110-58-7;110-68-9;111-26-2;1118-68-9;121-44-8;156-87-6;15962-47-7;22715-68-0;302-72-7;38580-89-1;4033-40-3;56-41-7;56-84-8;61-90-5;61655-72-9;70-47-3;71-00-1;83293-50-9;84652-30-2;927-62-8;97-69-8
TN1,0.7782400000000003,96-54-8
N3a,0.5840207692307691,1193-62-0;13129-23-2;22913-26-4;2527-99-3;352-87-4;406-95-1;5380-42-7;556-24-1;598-98-1;598-99-2;611-13-2;623-42-7;624-24-8
SC3,0.5836509090909091,108-10-1;110-82-7;110-85-0;2144-41-4;2390-94-5;287-92-3;3400-45-1;464-07-3;503-74-2;52-52-8;540-88-5;598-98-1;75-28-5;75-83-2;75-84-3;75-97-8;75-98-9;96-37-7;96-47-9
P3,0.5737099999999999,60828-33-3;79-16-3
SP1a,0.42167310344827574,107-97-1;109-52-4;116-53-0;118-91-2;302-72-7;321-14-2;3400-45-1;38580-89-1;4033-40-3;426-65-3;434-75-3;445-29-4;455-38-9;4684-94-0;488-93-7;503-74-2;52-52-8;527-72-0;535-80-8;5398-44-7;556-50-3;56-12-2;56-41-7;56-45-1;56-84-8;56-85-9;585-76-2;586-76-5;601-84-3;61-90-5;618-51-9;618-76-8;6600-40-4;6915-15-7;70-47-3;71-00-1;73-32-5;75-98-9;75-99-0;76-03-9;760-78-1;77-92-9;80-58-0;80-60-4;83293-50-9;87-69-4;88-09-5;88-13-1;88-65-3;88-67-5;97-61-0;97-62-1;97-63-2;97-69-8
