batch,compound,water,octanol,
batch_1,1003-09-4,1.35,15.22,3.31493
batch_1,10057-27-9,14.4,18.83,1.05877
batch_1,1007-28-9,28.46,27.23,-0.29397
batch_1,102-71-6,34.42,20.33,-3.36751
batch_1,10498-35-8,-5.74,16.32,5.27234
batch_1,105-46-4,20.18,18.1,-0.49712
batch_1,105-54-4,15.67,18.45,0.66442
batch_1,105-58-8,,,0
batch_1,106-36-5,22.19,22.07,-0.02868
,,,,
,,,,
,,,,
batch_1,106-48-9,6.91,14.32,1.77099
batch_1,106-93-4,-4.78,5.29,2.40673
batch_1,106-94-5,-5.95,5.56,2.75089
batch_1,106-95-6,-4.46,4.99,2.25855
batch_1,106-97-8,-8.88,10.59,4.65333
batch_1,106-98-9,-4.64,8.63,3.17153
batch_1,106-99-0,-4.69,4.04,2.08647
batch_1,107-03-9,-4.88,5.34,2.44258
batch_10,28466-26-4,34.7,23.97,-2.56447
batch_10,2847-30-5,19.15,21.29,0.51146
batch_10,287-92-3,-2.73,12.62,3.66865
batch_10,28810-38-0,-3.86,19.05,5.47549
batch_10,2882-20-4,7.86,19.23,2.71743
batch_10,2882-21-5,26.79,22.97,-0.91298
batch_10,302-72-7,17.36,14.48,-0.68832
batch_10,3140-93-0,1.43,14.97,3.23606
batch_10,319-81-3,-3.82,19.02,5.45876
batch_10,319-94-8,-2.79,22.83,6.12318
batch_10,3208-16-0,2.26,18,3.76186
batch_10,321-14-2,14.35,20.83,1.54872
batch_10,327-54-8,,,0
batch_10,33332-30-8,10.51,19.7,2.19641
batch_10,33332-31-9,18.11,20.07,0.46844
batch_10,33489-27-9,-5.76,23.72,7.04572
batch_10,33489-28-0,-5.8,23.79,7.07201
batch_10,3354-39-0,-1.08,16.94,4.30678
batch_10,3354-42-5,-1.03,17.36,4.39521
batch_10,33873-10-8,13.41,20.46,1.68495
batch_11,33875-95-5,-3.85,19.26,5.52329
batch_11,3400-45-1,5.5,19.54,3.35556
batch_11,3469-69-0,20.08,25.55,1.30733
batch_11,348-54-9,9.98,16.26,1.50092
batch_11,3481-20-7,,,0
batch_11,352-61-4,1.64,16.01,3.43443
batch_11,352-87-4,15.89,26.62,2.56447
batch_11,352-93-2,-4.63,7.17,2.8202
batch_11,354-33-6,8.21,14.94,1.60847
batch_11,35659-69-9,3.33,14.73,2.7246
batch_11,3599-76-6,26.31,43.03,3.99608
batch_11,360-97-4,42.73,31.95,-2.57642
batch_11,363-81-5,19.18,24.04,1.16154
batch_11,36355-38-1,50.33,32.75,-4.20162
batch_11,36635-02-6,-3.19,24.07,6.51514
batch_11,36635-03-7,-3.27,24.23,6.5725
batch_11,367-11-3,3.22,15.01,2.81781
batch_11,367-12-4,11.76,16.2,1.06116
batch_11,367-21-5,12.6,20.08,1.78772
batch_11,367-23-7,,,0
batch_12,367-25-9,13.42,19.34,1.41488
batch_12,371-40-4,,,0
batch_12,371-41-5,10.36,14.69,1.03487
batch_12,37174-09-7,12.29,23.65,2.71504
batch_12,372-18-9,7.95,18.02,2.40673
batch_12,372-19-0,15.98,19.85,0.92493
batch_12,372-20-3,17.99,20.03,0.48756
batch_12,3775-60-8,14.96,17.12,0.51624
batch_12,37813-54-0,8.55,18.92,2.47843
batch_12,38557-71-0,8.12,19.52,2.7246
batch_12,38580-89-1,9.56,22.52,3.09744
batch_12,38696-40-1,-5.44,14.73,4.82063
batch_12,3934-20-1,9.14,19.93,2.57881
batch_12,402-45-9,18.03,23.47,1.30016
batch_12,4033-40-3,31.61,28.25,-0.80304
batch_12,406-95-1,11.89,17.28,1.28821
batch_12,41992-55-6,-3.76,18.93,5.42291
batch_12,426-65-3,18.29,29.65,2.71504
batch_12,431-89-0,7.67,18.98,2.70309
batch_12,434-75-3,13.3,26.84,3.23606
batch_13,444-30-4,17.29,22.61,1.27148
batch_13,445-29-4,10.82,20.86,2.39956
batch_13,455-38-9,11.11,20.95,2.35176
batch_13,4562-27-0,32.16,21.7,-2.49994
batch_13,4597-87-9,16.56,17.05,0.11711
batch_13,462-06-6,3.48,14.65,2.66963
batch_13,463-49-0,-5.22,3.4,2.06018
batch_13,463-82-1,-5.91,9.39,3.6567
batch_13,464-07-3,9.99,15.22,1.24997
batch_13,4684-94-0,7.28,21.54,3.40814
batch_13,4774-14-5,9.38,20.33,2.61705
batch_13,4774-15-6,25.35,24.93,-0.10038
batch_13,488-93-7,12.15,21.14,2.14861
batch_13,498-62-4,7.54,15.96,2.01238
batch_13,50-69-1,48.2,27.36,-4.98076
batch_13,50-81-7,50.7,32.78,-4.28288
batch_13,50-99-7,58.48,34.01,-5.84833
batch_13,503-74-2,4.27,13.07,2.1032
batch_13,504-63-2,19.69,11.47,-1.96458
batch_13,507-19-7,-3.57,9.25,3.06398
batch_14,507-20-0,-3.59,10.25,3.30776
batch_14,507-52-8,22.36,22.49,0.03107
batch_14,50995-95-4,18.03,23.09,1.20934
batch_14,51-35-4,33.62,27.26,-1.52004
batch_14,513-35-9,-4.91,8.5,3.20499
batch_14,515-84-4,19.27,24.76,1.31211
batch_14,5162-44-7,-3.02,8.5,2.75328
batch_14,51795-30-3,-2.92,22.83,6.15425
batch_14,5194-50-3,,8.97,2.14383
batch_14,5194-51-4,,9,2.151
batch_14,52-52-8,4.79,18.88,3.36751
batch_14,527-72-0,8.42,18.82,2.4856
batch_14,533-45-9,9.28,23.48,3.3938
batch_14,533-58-4,5.63,14.9,2.21553
batch_14,534-22-5,4.61,18.12,3.22889
batch_14,535-80-8,6.92,20.7,3.29342
batch_14,5380-42-7,10.45,23.54,3.12851
batch_14,5398-44-7,7.4,24.2,4.0152
batch_14,540-38-5,3.67,13.05,2.24182
batch_14,540-54-5,-5.81,6.13,2.85366
batch_15,540-88-5,9.47,12.91,0.82216
batch_15,54083-24-8,-2.6,22.78,6.06582
batch_15,54083-25-9,-2.58,22.85,6.07777
batch_15,541-73-1,-0.05,18.14,4.34741
