bead,importance
SN4a,0.13133976570143235
TN4,0.07004369737230307
N4,0.06826669499604321
SC3,0.06709748133699993
TC5,0.05564215258356527
TN6,0.049520842247073114
SC2,0.04482752998432245
SN1,0.039496380016457104
TN6a,0.0371810672650714
SN6,0.035300738975250226
C1,0.034416811434683774
SC5,0.03175147757373268
TC3,0.031651762552143116
N6,0.026011002051480207
SN4,0.022830242752072672
P1,0.02020783537437943
TX3,0.02017489472229948
SX2,0.015298209069327814
SN6a,0.014956596535878759
SN6d,0.012659118461846192
SX3,0.012435295042903943
SC4,0.010705637589125874
SP2,0.010481124358202146
TX2,0.010099761650542247
SX4e,0.009900196805577565
TC4,0.009752916292164128
TN6d,0.009251426243216739
P3,0.008786105855326024
TX4e,0.008612031175597874
TC6,0.007775770661386272
P2,0.007108294131099696
TP1d,0.007097127889357206
TN2a,0.006863951208873537
TN4a,0.006461306817461302
N6a,0.006311779350494898
SP5,0.006115207083714644
X2,0.0053326399215293295
N4a,0.004350967872505801
SN2a,0.003805062681688468
P4,0.0034720848272184173
C4,0.003428295963725384
TX3h,0.0032187512227512104
SX3h,0.0023070809060710537
X3h,0.0021275184391737288
X1,0.0020249583944892463
SC6,0.001472012460563724
TX1,0.000849814646834111
TN1,0.00031449866125398323
P6,0.0002796165697625316
SN3r,0.00025428289480947596
SN3a,0.00014993102968157012
N5a,0.0001121688607461265
P3a,6.808148578959602e-05
