bead,error,total,%error
N6a,1,1,1.0
SC5,5,5,1.0
SN1,6,6,1.0
P2,2,2,1.0
SP5,2,2,1.0
N4,5,6,0.8333333333333334
SN4,8,10,0.8
TN4,14,18,0.7777777777777778
P1,7,9,0.7777777777777778
TN6,23,30,0.7666666666666667
N6,6,8,0.75
SN6,17,26,0.6538461538461539
TX3,56,89,0.6292134831460674
SN6d,13,21,0.6190476190476191
SN2a,11,18,0.6111111111111112
SN4a,46,77,0.5974025974025974
C1,10,17,0.5882352941176471
TX2,24,41,0.5853658536585366
SP2,4,7,0.5714285714285714
TN6a,41,82,0.5
X3h,1,2,0.5
TX4e,9,19,0.47368421052631576
TN6d,17,37,0.4594594594594595
SX2,20,44,0.45454545454545453
TC4,5,11,0.45454545454545453
TN2a,8,19,0.42105263157894735
TP1d,5,12,0.4166666666666667
SX4e,13,32,0.40625
TN4a,4,10,0.4
SN6a,5,13,0.38461538461538464
SC3,5,13,0.38461538461538464
SX3,30,85,0.35294117647058826
SC4,15,44,0.3409090909090909
X2,5,15,0.3333333333333333
X1,2,6,0.3333333333333333
TC5,79,243,0.32510288065843623
SC2,17,54,0.3148148148148148
N4a,4,13,0.3076923076923077
TC3,9,36,0.25
TC6,9,41,0.21951219512195122
C4,1,6,0.16666666666666666
TX1,1,8,0.125
SC6,0,5,0.0
TX3h,0,11,0.0
P4,0,7,0.0
P3,0,3,0.0
SN3r,0,1,0.0
P6,0,1,0.0
P3a,0,1,0.0
SX3h,0,6,0.0
SN3a,0,1,0.0
N5a,0,1,0.0
TN1,0,1,0.0
