batch,compound,water,octanol,deltaG_Minh,deltaG_exp,deltaG_Tristan
batch_1,1003-09-4,1.38,15.59,3.39619,3.76,3.62
batch_1,1007-28-9,28.29,28.4,0.02629,1.57,0.34
batch_1,102-71-6,37.89,23.88,-3.34839,-1.37,-2.83
batch_1,10498-35-8,-5.75,16.19,5.24366,4.35,5.9
batch_1,105-46-4,19.71,17.8,-0.45649,2.35,3.65
batch_1,106-36-5,26.44,24.2,-0.53536,2.34,3.25
batch_1,106-37-6,,,0,,
batch_1,106-46-7,,,0,,
batch_1,106-47-8,,,0,,
batch_1,106-48-9,6.96,14.58,1.82118,3.27,4.06
batch_1,106-93-4,-4.76,5.27,2.39717,2.68,1.83
batch_1,106-94-5,-6,5.6,2.7724,2.87,2.46
batch_1,106-95-6,-4.33,4.95,2.21792,2.45,1.91
batch_1,106-97-8,-8.73,10.59,4.61748,2.74,2.35
batch_1,106-98-9,-4.89,8.65,3.23606,3.15,2.96
batch_1,106-99-0,-4.68,3.93,2.05779,2.72,2.48
batch_1,107-03-9,-4.79,5.36,2.42585,2.48,2.5
batch_1,107-06-2,-3.66,10.2,3.31254,2.02,1.85
batch_1,107-08-4,-8.96,4.96,3.32688,3.47,3.1
batch_1,107-15-3,13,7.5,-1.3145,-2.79,-2.28
batch_10,348-54-9,9.82,16.02,1.4818,1.72,3.14
batch_10,352-87-4,15.73,26.97,2.68636,2.13,2.32
batch_10,352-93-2,-4.52,7.12,2.78196,2.67,3.06
batch_10,354-33-6,8.39,15.03,1.58696,1.83,1.77
batch_10,35659-69-9,5.24,13.46,1.96458,2.6,2.62
batch_10,3599-76-6,25.96,43,4.07256,6.04,2.3
batch_10,360-97-4,42.84,33.42,-2.25138,-1.5,-2.72
batch_10,363-81-5,19.25,24.14,1.16871,2.48,3.1
batch_10,367-11-3,2.98,15.14,2.90624,3.24,4.22
batch_10,367-12-4,11.86,16.24,1.04682,2.28,4.18
batch_10,367-21-5,12.64,20.2,1.80684,2.74,4
batch_10,367-23-7,,,0,,
batch_10,367-25-9,13.42,19.1,1.35752,2.12,3.15
batch_10,371-40-4,8.51,14.7,1.47941,1.57,3.35
batch_10,371-41-5,10.41,14.79,1.04682,2.42,3.24
batch_10,372-18-9,7.91,18.35,2.49516,3.32,4.17
batch_10,372-19-0,16.18,19.94,0.89864,1.78,3
batch_10,372-20-3,17.94,20,0.49234,,
batch_10,3775-60-8,14.82,17.21,0.57121,-1.97,-1.91
batch_10,37813-54-0,8.56,18.92,2.47604,2.53,0.45
batch_11,38557-71-0,8.27,19.54,2.69353,1.41,0.17
batch_11,38580-89-1,11.08,23.73,3.02335,1.89,1.61
batch_11,38696-40-1,-5.3,14.6,4.7561,4.35,4.95
batch_11,3934-20-1,9.18,20.22,2.63856,1.59,1.74
batch_11,402-45-9,17.81,23.17,1.28104,3.86,3.59
batch_11,4033-40-3,31.6,32.54,0.22466,-3.55,-2.24
batch_11,406-95-1,11.76,18,1.49136,1.61,1.42
batch_11,434-75-3,13.45,27.41,3.33644,2.89,4.15
batch_11,444-30-4,17.2,22.84,1.34796,3.83,3.7
batch_11,445-29-4,10.93,21.81,2.60032,2.26,3.28
batch_11,455-38-9,11,22.12,2.65768,3.02,4.24
batch_11,4562-27-0,32,21.69,-2.46409,-1.89,-1
batch_11,4597-87-9,16.35,17.74,0.33221,1.5,1.68
batch_11,462-06-6,3.5,14.76,2.69114,3.1,4.08
batch_11,463-49-0,-5.42,3.18,2.0554,1.98,2.36
batch_11,464-07-3,11.99,16.01,0.96078,2.02,2.14
batch_11,4684-94-0,7.54,22.29,3.52525,2.05,1.85
batch_11,4774-14-5,9.16,20,2.59076,2.09,1.62
batch_11,4774-15-6,,,0,,
batch_11,488-93-7,12.48,22.14,2.30874,1.41,1.04
batch_12,498-62-4,6.85,16.72,2.35893,1.38,2.07
batch_12,503-74-2,3.93,14.14,2.44019,1.59,2.42
batch_12,504-63-2,21.66,12.35,-2.22509,-1.42,-2.21
batch_12,507-52-8,22.54,21.19,-0.32265,1.42,1.31
batch_12,50995-95-4,17.92,23.1,1.23802,1.78,1.08
batch_12,50-99-7,58.62,33.37,-6.03475,-4.43,-5.37
batch_12,513-35-9,-5.01,8.6,3.25279,3.65,3.45
batch_12,51-35-4,35.48,29.65,-1.39337,-4.34,-3.08
batch_12,5162-44-7,-2.78,8.37,2.66485,3.2,3.3
batch_12,5194-50-3,-7.66,8.7,3.91004,3.83,3.38
batch_12,5194-51-4,-7.55,8.92,3.93633,4.12,3.38
batch_12,52-52-8,4.88,19.57,3.51091,-3.53,-2.15
batch_12,527-72-0,8.67,19.96,2.69831,2.15,1.95
batch_12,533-45-9,9.22,23.75,3.47267,2.9,2.65
batch_12,533-58-4,5.6,14.66,2.16534,3.62,3.32
batch_12,534-22-5,4.52,18.1,3.24562,2.53,2.45
batch_12,535-80-8,6.98,21.63,3.50135,3.55,4.83
batch_12,5380-42-7,10.44,23.77,3.18587,2.5,2.02
batch_12,5398-44-7,7.26,24.86,4.2064,3.55,2.12
batch_12,540-38-5,,,0,,
batch_13,540-54-5,-5.82,6.02,2.82976,2.79,3.03
batch_13,540-88-5,11.09,12.99,0.4541,2.41,3.2
batch_13,54135-81-8,3.42,24.73,5.09309,5.37,6.35
batch_13,54135-82-9,2.43,23.94,5.14089,5.77,6.11
batch_13,541-73-1,-0.25,18.18,4.40477,4.81,5.77
batch_13,542-69-8,-8.56,8.16,3.99608,4.21,4.37
batch_13,543-59-9,-6.79,10.53,4.13948,4.25,4.32
batch_13,544-10-5,-10.03,15.14,6.01563,5,4.74
batch_13,5509-65-9,15.12,20.64,1.31928,2.2,3.13
batch_13,554-00-7,6.33,18.7,2.95643,3.8,4.83
batch_13,554-14-3,0.35,15.44,3.60651,3.19,3.83
batch_13,55486-68-5,-4.77,16.52,5.08831,4.02,4.08
batch_13,556-24-1,5.06,16.97,2.84649,2.49,2.17
batch_13,556-50-3,26.8,22.02,-1.14242,-3.99,-4
batch_13,557-01-7,22.29,19.16,-0.74807,-2.21,-0.07
batch_13,56-12-2,15.5,18.09,0.61901,-4.34,-2.27
batch_13,5621-02,22.74,22.57,-0.04063,1.46,-0.5
batch_13,56-45-1,22.94,16.97,-1.42683,-3.9,-2.21
batch_13,5666-21-7,1.46,12.54,2.64812,1.82,2.17
batch_13,56-81-5,21.14,14.41,-1.60847,-2.41,-2.26
batch_14,56-84-8,24.67,24.69,0.00478,-5.03,-3.05
batch_14,56-85-9,26.14,27.73,0.38001,-4.3,-3.17
batch_14,56961-77-4,-1.9,18.18,4.79912,6.3,6.19
batch_14,57-15-8,20.8,26.38,1.33362,2.78,2.8
batch_14,5728-21-2,-3.6,14.2,4.2542,1.75,0.98
batch_14,57383-80-9,9.61,18.97,2.23704,4.6,4.4
batch_14,583-78-8,,,0,,
batch_14,584-02-1,11.36,15.07,0.88669,1.65,1.6
batch_14,585-76-2,6.65,20.72,3.36273,3.76,2.98
batch_14,586-76-5,7.15,21.88,3.52047,3.83,4.74
batch_14,587-04-2,4.38,18,3.25518,3.09,3.76
batch_14,590-18-1,-4.88,8.8,3.26952,3.19,3.26
batch_14,590-36-3,14.25,19.28,1.20217,2.09,2.46
batch_14,591-19-5,11.84,19.04,1.7208,3,4.05
batch_14,591-20-8,13.71,19,1.26431,3.55,3.93
batch_14,591-35-5,10.26,20.53,2.45453,4.94,4.86
batch_14,591-78-6,-0.61,17.47,4.32112,1.89,2.04
batch_14,591-93-5,-4.63,8.12,3.04725,3.39,3.3
batch_14,592-41-6,-7.79,10.14,4.28527,4.65,3.42
batch_14,592-45-0,-5.58,10.82,3.9196,4.32,3.38
batch_15,592-50-7,-2.89,10.41,3.1787,3.19,3.38
batch_15,592-57-4,-1.14,10.73,2.83693,3.38,3.27
batch_15,59303-10-5,13.31,16.53,0.76958,1.48,1.75
batch_15,594-36-5,-3.89,10.08,3.33883,3.45,3.46
batch_15,594-60-5,16.06,20.31,1.01575,,
batch_15,598-98-1,7.48,18.78,2.7007,,
batch_15,598-99-2,12.09,24.67,3.00662,,
batch_15,60067-92-7,-0.51,22.62,5.52807,,
batch_15,601-84-3,8.87,25.74,4.03193,,
batch_15,60-32-2,22.66,19.87,-0.66681,,
