batch,compound,water,octanol,deltaG_Minh,deltaG_exp,deltaG_Tristan
batch_15,60-35-5,16.54,3.56,-3.10222,,
batch_15,60633-26-3,4.19,25.08,4.99271,,
batch_15,607-99-8,3.56,24.3,4.95686,,
batch_15,608-27-5,10.29,20.59,2.4617,,
batch_15,60828-33-3,34.19,24.5,-2.31591,,
batch_15,608-31-1,7.81,20.43,3.01618,,
batch_15,608-33-3,9.46,19.14,2.31352,,
batch_15,608-93-5,,,0,,
batch_15,609-19-8,12.11,24.09,2.86322,,
batch_15,6108-61-8,-7.83,8.87,3.9913,,
batch_16,611-13-2,13.81,26.05,2.92536,,
batch_16,615-36-1,6.44,15.37,2.13427,,
batch_16,615-43-0,3.7,14.54,2.59076,,
batch_16,615-58-7,7.91,17.67,2.33264,,
batch_16,615-67-8,,,0,,
batch_16,615-77-0,18.49,21.19,0.6453,,
batch_16,616-44-4,-0.18,15.03,3.63519,,
batch_16,61655-72-9,21.64,25.3,0.87474,,
batch_16,620-08-6,18.4,17.5,-0.2151,,
batch_16,620957-93-9,24.38,25.61,0.29397,,
batch_16,620957-94-0,18.26,23.01,1.13525,,
batch_16,62182-10-9,42.66,30.72,-2.85366,,
batch_16,623-37-0,12.04,18.22,1.47702,,
batch_16,623-42-7,4.77,16.86,2.88951,,
batch_16,624-24-8,2.18,21.57,4.63421,,
batch_16,624-64-6,-4.76,8.59,3.19065,,
batch_16,624-73-7,-10.64,4.25,3.55871,,
batch_16,624-89-5,-5.34,5,2.47126,,
batch_16,624-92-0,-2.95,4.21,1.71124,,
batch_16,625-80-9,-4.26,10.14,3.4416,,
batch_17,625-84-3,11.09,22.46,2.71743,,
batch_17,625-86-5,4.34,21.52,4.10602,,
batch_17,626-39-1,-1.87,17.72,4.68201,,
batch_17,626-43-7,8.61,20.66,2.87995,,
batch_17,626-55-1,8.83,16.05,1.72558,,
batch_17,626-60-8,9.11,16.52,1.77099,,
batch_17,626-61-9,9.08,16.51,1.77577,,
batch_17,626-93-7,6.59,18.83,2.92536,,
batch_17,6270-63-9,32.01,21.74,-2.45453,,
batch_17,627-31-6,-8.04,12.23,4.84453,,
batch_17,628-17-1,-7.28,15.18,5.36794,,
batch_17,628-28-4,3.56,11.03,1.78533,,
batch_17,628-41-1,-1.45,10.54,2.86561,,
batch_17,628-81-9,1.08,12.52,2.73416,,
batch_17,6293-55-6,18.96,24.51,1.32645,,
batch_17,630-20-6,-0.69,15.83,3.94828,,
batch_17,634-91-3,10.29,23.63,3.18826,,
batch_17,636-28-2,-1.89,20.46,5.34165,,
batch_17,636-30-6,10.69,24.16,3.21933,,
batch_17,637-78-5,12.88,16.51,0.86757,,
batch_18,637-87-6,,,0,,
batch_18,638-45-9,-9.71,20.26,7.16283,,
batch_18,6515-38-4,10.47,24.02,3.23845,,
batch_18,12/3/6556,55.87,36.14,-4.71547,,
batch_18,65611-47-4,14.48,21.41,1.65627,,
batch_18,6600-40-4,10.08,17.64,1.80684,,
batch_18,660-88-8,19.87,14.91,-1.18544,,
batch_18,66-22-8,25.31,22.55,-0.65964,,
batch_18,66-25-1,-2.93,15.3,4.35697,,
batch_18,67-51-6,23.38,24.36,0.23422,,
batch_18,67-66-3,-3.36,9.25,3.01379,,
batch_18,67-68-5,18.2,7.42,-2.57642,,
batch_18,67-72-1,5.47,26.23,4.96164,,
batch_18,68-12-2,11.86,7.89,-0.94883,,
batch_18,68-94-0,43.57,32.98,-2.53101,,
batch_18,6915-15-7,28.99,25.96,-0.72417,,
batch_18,6936-40-9,3.28,26.9,5.64518,,
batch_18,695-19-2,,,0,,
batch_18,7113-30-6,-5.03,12.3,4.14187,,
batch_18,71-30-7,34.08,24.82,-2.21314,,
batch_19,71-33-0,34.64,25.09,-2.28245,,
batch_19,71-41-0,6.2,11.38,1.23802,,
batch_19,71-43-2,-1.28,10.95,2.92297,,
batch_19,73-32-5,8.6,24.12,3.70928,,
batch_19,7411-23-6,-1.86,13.78,3.73796,,
batch_19,74-83-9,-4.21,0.91,1.22368,,
batch_19,74-84-0,-6.1,0.7,1.6252,,
batch_19,74-85-1,-4.28,0.13,1.05399,,
batch_19,74-88-4,-7.22,0.5,1.84508,,
batch_19,74-96-4,-3.81,3.69,1.7925,,
batch_19,74-98-6,-6.04,3.85,2.36371,,
batch_19,75-00-3,-3.72,4.31,1.91917,,
batch_19,75-03-6,-5.82,8.67,3.46311,,
batch_19,75-09-2,-3.76,4.29,1.92395,,
batch_19,75-12-7,3.76,4.66,0.2151,,
batch_19,75-18-3,-2.09,3.31,1.2906,,
batch_19,75-26-3,-3.78,3.81,1.81401,,
batch_19,75-28-5,-6.11,3.77,2.36132,,
batch_19,75-29-6,-3.83,4.31,1.94546,,
batch_19,75-30-9,-5.82,8.6,3.44638,,
batch_2,107-21-1,15.96,8.1,-1.87854,,
batch_2,107-97-1,10.27,14.51,1.01336,,
batch_2,108-10-1,2.66,12.7,2.39956,,
batch_2,108-11-2,13.19,18.35,1.23324,,
batch_2,108-20-3,12.56,17.9,1.27626,,
batch_2,108-21-4,22.08,19.13,-0.70505,,
batch_2,108-36-1,-0.76,16.81,4.19923,,
batch_2,108-42-9,12.13,20.1,1.90483,,
batch_2,108-43-0,13.61,19.79,1.47702,,
batch_2,108-70-3,-1.25,19.21,4.88994,,
batch_2,108-78-1,41.14,27.74,-3.2026,,
batch_2,108-86-1,-1.04,13.77,3.53959,,
batch_2,108-89-4,8.05,16.08,1.91917,,
batch_2,108-90-7,-0.73,14.6,3.66387,,
batch_2,108-95-2,13.81,16.54,0.65247,,
batch_2,108-98-5,1.03,13.52,2.98511,,
batch_2,108-99-6,7.95,16.04,1.93351,,
batch_2,109-04-6,8.89,15.91,1.67778,,
batch_2,109-06-8,7.98,15.92,1.89766,,
batch_2,109-09-1,9.26,16.57,1.74709,,
batch_20,75-34-3,-3.8,4.3,1.9359,,
batch_20,7541-59-5,37.29,20.94,-3.90765,,
batch_20,75-83-2,-6.27,9.91,3.86702,,
batch_20,75-84-3,5.68,10.43,1.13525,,
batch_20,75-87-6,5.97,16.84,2.59793,,
batch_20,75-97-8,5.29,15.24,2.37805,,
batch_20,75-98-9,5.64,15.35,2.32069,,
batch_20,75-99-0,7.7,15.64,1.89766,,
batch_20,76-01-7,2.29,20.61,4.37848,,
batch_20,76-03-9,9.75,21.13,2.71982,,
batch_20,7606-79-3,26.83,22.44,-1.04921,,
batch_20,760-78-1,9.79,17.76,1.90483,,
batch_20,76-16-4,8.53,15.01,1.54872,,
batch_20,7682-38-4,0.13,19.28,4.57685,,
batch_20,771-61-9,24.77,29.07,1.0277,,
batch_20,77580-78-0,-0.91,21.4,5.33209,,
batch_20,77-92-9,44.54,40.17,-1.04443,,
batch_20,79-16-3,13.92,7.98,-1.41966,,
batch_20,80-58-0,1.7,13.18,2.74372,,
batch_20,80-60-4,18.91,20.55,0.39196,,
batch_21,819-06-7,8.78,12.17,0.81021,,
batch_21,822-86-6,-5.67,16.41,5.27712,,
batch_21,823-09-6,18.73,18.69,-0.00956,,
batch_21,83293-50-9,28.88,24.04,-1.15676,,
batch_21,872-31-1,0.88,14.9,3.35078,,
batch_21,872-55-9,-1.53,15.62,4.09885,,
batch_21,87-40-1,3.68,25.44,5.20064,,
batch_21,87-61-6,-1.5,18.73,4.83497,,
batch_21,87-65-0,9.84,20.28,2.49516,,
batch_21,87-68-3,4.8,28.58,5.68342,,
batch_21,87-69-4,37.63,29.05,-2.05062,,
batch_21,87-82-1,,,0,,
batch_21,88-09-5,3.45,19.18,3.75947,,
batch_21,88095-60-7,34.23,28.4,-1.39337,,
batch_21,88-13-1,8.66,20.12,2.73894,,
batch_21,88-15-3,8.66,20.12,2.73894,,
batch_21,88511-48-2,26.59,23.89,-0.6453,,
batch_21,88-65-3,6.42,21.17,3.52525,,
batch_21,921-60-8,57.46,40.3,-4.10124,,
batch_21,927-62-8,-4.2,16.76,5.00944,,
batch_22,927-68-4,14.23,16.04,0.43259,,
batch_22,94-99-5,-1.28,21.2,5.37272,,
batch_22,95-50-1,-3.16,14.45,4.20879,,
batch_22,95-51-2,6.75,15.62,2.11993,,
batch_22,95-56-7,8.59,15.33,1.61086,,
batch_22,95-76-1,9.63,20.19,2.52384,,
batch_22,95-77-2,11.16,19.88,2.08408,,
batch_22,95-82-9,7.21,19.65,2.97316,,
batch_22,95-83-0,16.89,20.89,0.956,,
batch_22,95-85-2,18.93,20.92,0.47561,,
batch_22,95-89-6,4.73,19.42,3.51091,,
batch_22,95-94-3,-0.71,22.72,5.59977,,
batch_22,96-14-0,-8.52,15.27,5.68581,,
batch_22,96-37-7,-1.57,15.69,4.12514,,
batch_22,96-43-5,1.67,16.14,3.45833,,
batch_22,96-47-9,8.36,17.04,2.07452,,
batch_22,96-54-8,1.29,11.42,2.42107,,
batch_22,97-61-0,2.14,17.89,3.76425,,
batch_22,97-62-1,5.18,20.49,3.65909,,
batch_22,97-63-2,4.42,18.77,3.42965,,
batch_23,98-03-3,5.98,16.01,2.39717,,
batch_3,109-49-9,3.68,16.39,3.03769,,
batch_3,109-52-4,1.74,19.44,4.2303,,
batch_3,109-64-8,-4.73,7.43,2.90624,,
batch_3,109-65-9,-5.83,8.64,3.45833,,
batch_3,109-66-0,-7.96,8.37,3.90287,,
batch_3,109-67-1,-6.16,8.77,3.56827,,
batch_3,109-69-3,-6.76,8.18,3.57066,,
batch_3,109-70-6,-4.41,8.03,2.97316,,
batch_3,109-76-2,13.83,9.99,-0.91776,,
batch_3,109-79-5,-4.47,8.65,3.13568,,
batch_3,109803-52-3,0.81,21.5,4.94491,,
batch_3,109-92-2,9.45,8.91,-0.12906,,
batch_3,110-00-9,4.62,14.67,2.40195,,
batch_3,110-02-1,0.72,12.14,2.72938,,
batch_3,110-19-0,20.3,19.07,-0.29397,,
batch_3,110-44-1,8.33,13.97,1.34796,,
batch_3,110-53-2,-6.87,9.85,3.99608,,
batch_3,110-54-3,-9.38,9.79,4.58163,,
batch_3,110-56-5,-3.23,11.76,3.58261,,
batch_3,110-58-7,1.89,10.38,2.02911,,
batch_4,110-68-9,-3.43,9.75,3.15002,,
batch_4,110-82-7,-0.31,17.08,4.15621,,
batch_4,110-83-8,-4.92,12.1,4.06778,,
batch_4,110-85-0,-0.37,16.8,4.10363,,
batch_4,111-25-1,-10.25,14.47,5.90808,,
batch_4,111-26-2,-0.09,16.25,3.90526,,
batch_4,111-27-3,4.5,17.65,3.14285,,
batch_4,111-42-2,27.65,16.4,-2.68875,,
batch_4,111-43-3,8.83,16.05,1.72558,,
batch_4,111-44-4,4.88,13.54,2.06974,,
batch_4,111-47-7,-8.68,10.61,4.61031,,
batch_4,1118-68-9,16.87,13.19,-0.87952,,
batch_4,1120-87-2,8.93,15.82,1.64671,,
batch_4,112704-79-7,,,0,,
batch_4,114525-06-3,17.35,18.27,0.21988,,
batch_4,115-07-1,-5.33,3.34,2.07213,,
batch_4,115-11-7,-5.36,3.32,2.07452,,
batch_4,115571-04-5,32.32,36.53,1.00619,,
batch_4,116-53-0,5.18,22.33,4.09885,,
batch_4,117856-61-8,,,0,,
batch_5,118-79-6,8.38,21.34,3.09744,,
batch_5,118-91-2,6.81,21.83,3.58978,,
batch_5,1193-02-8,5.95,13.78,1.87137,,
batch_5,1193-62-0,20.55,27.29,1.61086,,
batch_5,120-83-2,8.38,18.97,2.53101,,
batch_5,121-50-6,10.73,22.58,2.83215,,
batch_5,122970-63-2,13.19,17.31,0.98468,,
batch_5,123-51-3,8.79,13.19,1.0516,,
batch_5,123-86-4,6.02,16.42,2.4856,,
batch_5,124-02-7,3.36,13.12,2.33264,,
batch_5,13053-81-1,19.3,17.76,-0.36806,,
batch_5,13129-23-2,13.54,25.81,2.93253,,
batch_5,13577-71-4,34.11,37.13,0.72178,,
batch_5,137-07-5,7.67,14.83,1.71124,,
batch_5,13797-63-2,34.93,34.21,-0.17208,,
batch_5,14085-33-7,-0.97,17.82,4.49081,,
batch_5,140-88-5,16.62,15.16,-0.34894,,
batch_5,141-43-5,15.1,7.74,-1.75904,,
batch_5,142-28-9,-4.37,8.65,3.11178,,
batch_5,142-62-1,6.42,16.86,2.49516,,
batch_6,142-84-7,6.41,16.18,2.33503,,
batch_6,1435-48-9,-0.03,17.97,4.302,,
batch_6,1455-77-2,21.7,18.32,-0.80782,,
batch_6,1468-83-3,,,0,,
batch_6,147-81-9,50,28.61,-5.11221,,
batch_6,14884-03-8,35.53,28.66,-1.64193,,
batch_6,14946-02-2,29.47,35.02,1.32645,,
batch_6,1513-65-1,8,18.34,2.47126,,
batch_6,15231-48-8,20.78,21.9,0.26768,,
batch_6,1529-68-6,-6.89,12.13,4.54578,,
batch_6,1551-06-0,9.09,18.83,2.32786,,
batch_6,156-59-2,-4.06,6.68,2.56686,,
batch_6,156-60-5,-4.15,6.68,2.58837,,
batch_6,156-87-6,8.41,9.45,0.24856,,
batch_6,1574-41-0,-6.23,6.55,3.05442,,
batch_6,15950-66-0,7.99,20.9,3.08549,,
batch_6,15962-47-7,24.34,24.65,0.07409,,
batch_6,1603-41-4,13.92,16.13,0.52819,,
batch_6,16063-69-7,8.32,21.77,3.21455,,
batch_6,16063-70-0,6.93,20.12,3.15241,,
batch_7,16088-73-6,32.16,35.11,0.70505,,
batch_7,16110-09-1,4.72,14.83,2.41629,,
batch_7,16269-66-2,11.64,25.17,3.23367,,
batch_7,1628-89-3,10.51,16.51,1.434,,
batch_7,164584-60-5,3.46,16.27,3.06159,,
batch_7,16839-97-7,10.15,16.41,1.49614,,
batch_7,17249-80-8,1.17,15.44,3.41053,,
batch_7,174913-20-3,2.03,23.59,5.15284,,
batch_7,174913-24-7,2.41,25.67,5.55914,,
batch_7,174913-31-6,3.46,26.58,5.52568,,
batch_7,174913-44-1,4.12,24.55,4.88277,,
batch_7,174913-68-9,2.85,28.05,6.0228,,
batch_7,174913-78-1,3,25.48,5.37272,,
batch_7,17647-69-7,-1.45,18.46,4.75849,,
batch_7,1795-01-3,-1.72,15.64,4.14904,,
batch_7,1825-21-4,3.39,28.87,6.08972,,
batch_7,1825-26-9,2.37,26.57,5.7838,,
batch_7,18438-38-5,8.87,16.07,1.7208,,
batch_7,19393-92-1,-2.02,18.56,4.91862,,
batch_7,2004-70-8,-6.12,6.55,3.02813,,
batch_8,2034-22-2,-1.1,17.09,4.34741,,
batch_8,2/7/2106,11.12,19.49,2.00043,,
batch_8,21227-47-4,20.19,32.49,2.9397,,
batch_8,2144-41-4,7.27,15.88,2.05779,,
batch_8,2176-62-7,-2.03,23.84,6.18293,,
batch_8,21948-70-9,18.73,18.53,-0.0478,,
batch_8,22037-28-1,4.57,17.06,2.98511,,
batch_8,5/5/2268,1.55,19.02,4.17533,,
batch_8,22715-68-0,33.52,26.54,-1.66822,,
batch_8,22913-26-4,10.23,23.6,3.19543,,
batch_8,23361-38-8,28.02,23.81,-1.00619,,
batch_8,2366-52-1,-3.48,8.41,2.84171,,
batch_8,2390-94-5,7.18,16.12,2.13666,,
batch_8,2402-78-0,-0.07,18.25,4.37848,,
batch_8,24108-33-6,8.24,16.27,1.91917,,
batch_8,2457-47-8,9.13,20.24,2.65529,,
batch_8,2527-99-3,14.44,28.77,3.42487,,
batch_8,2539-17-5,14.2,30.42,3.87658,,
batch_8,25414-22-6,,,0,,
batch_8,271-58-9,4.26,21.34,4.08212,,
batch_9,271-95-4,15.97,24.88,2.12949,,
batch_9,273-53-0,15.66,24.59,2.13427,,
batch_9,28177-48-2,16.82,20.74,0.93688,,
batch_9,28466-26-4,34.69,23.98,-2.55969,,
batch_9,2847-30-5,19.23,21.44,0.52819,,
batch_9,287-92-3,-2.59,12.53,3.61368,,
batch_9,2882-20-4,7.73,18.98,2.68875,,
batch_9,2882-21-5,19.55,22.33,0.66442,,
batch_9,3140-93-0,1.34,15.1,3.28864,,
batch_9,3208-16-0,2.21,17.96,3.76425,,
batch_9,321-14-2,14.41,21.95,1.80206,,
batch_9,327-54-8,,,0,,
batch_9,33332-30-8,10.52,19.79,2.21553,,
batch_9,33332-31-9,18.3,19.78,0.35372,,
batch_9,3354-39-0,-0.87,16.73,4.2064,,
batch_9,3354-42-5,-0.85,17.56,4.39999,,
batch_9,33873-10-8,13.38,20.47,1.69451,,
batch_9,3400-45-1,5.39,20.24,3.54915,,
batch_9,3469-69-0,20.37,25.61,1.25236,,
batch_9,3481-20-7,7.39,25.01,4.21118,,
