batch,compound,water,octanol,logP
batch_8,164584-60-5,3.18,16.7,3.23128
batch_8,164584-61-6,4.45,14.48,2.39717
batch_8,164584-62-7,3.47,16.6,3.13807
batch_8,16839-97-7,3.15,15.93,3.05442
batch_8,1717-00-6,-3.62,9.33,3.09505
batch_8,17249-80-8,1.13,15.69,3.47984
batch_8,1746-25-4,0.33,22.12,5.20781
batch_8,174913-20-3,2.09,23.28,5.06441
batch_8,174913-24-7,2.25,25.59,5.57826
batch_8,174913-31-6,3.14,26.6,5.60694
batch_8,174913-44-1,3.83,24.66,4.97837
batch_9,174913-68-9,3.04,27.95,5.95349
batch_9,174913-78-1,3.13,25.48,5.34165
batch_9,1762-26-1,-7,8.43,3.68777
batch_9,1762-27-2,-9.21,12.11,5.09548
batch_9,17696-95-6,18.22,13.35,-1.16393
batch_9,1782-00-9,-3.72,19.01,5.43247
batch_9,1795-01-3,-1.57,15.68,4.12275
batch_9,18143-31-2,-7.48,10.68,4.34024
batch_9,1825-21-4,3.55,29.11,6.10884
batch_9,1825-26-9,2.26,26.51,5.79575
batch_9,18438-38-5,8.94,16.16,1.72558
batch_9,19393-92-1,-1.92,18.36,4.84692
batch_9,2004-70-8,-6.25,6.39,3.02096
batch_9,20300-02-1,6.64,18.9,2.93014
batch_9,2/7/2106,11.22,19.58,1.99804
batch_9,21124-40-3,18.32,23.73,1.29299
batch_9,21227-47-4,20.05,32.87,3.06398
batch_9,2144-41-4,7.14,16.21,2.16773
batch_9,2176-62-7,-1.87,23.76,6.12557
batch_9,21948-70-9,18.78,18.66,-0.02868
