Compound: TPCN00004
SMILES:   CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC4C(C)C(OC(=O)CC5C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C5=CC)CC4C(C)CO

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC3        0,1                  C,C                  1            36.0     0.8223   -0.0869  -0.2756 
1        TC3        2,23                 C,C                  4            36.0     0.7066   -0.1374  -0.0973 
2        TN4a       3,16                 C,O                  3            36.0     0.7960   -0.0902  0.0941  
3        TN6        4,5                  O,C                  3            36.0     0.9767   0.0355   0.0559  
4        TN4a       6,7                  O,C                  3            36.0     1.1643   0.1733   0.0339  
5        TN2a       8,9                  C,O                  1            36.0     1.3211   0.3360   -0.0487 
6        TN6        10,11                C,O                  2            36.0     1.0675   0.3713   0.0685  
7        N5         12,13,14,15          C,O,C,O              2            72.0     1.0043   0.2135   0.2532  
8        TC5        17,18                C,C                  3            36.0     0.6524   -0.2513  0.0772  
9        N4a        19,20,21,22          C,O,O,C              1            72.0     0.4846   -0.4579  0.0397  
10       N4a        24,25,26,27,28       C,C,O,O,C            2            72.0     0.3483   -0.1285  -0.1223 
11       SC4        29,30,31             C,C,C                2            54.0     -0.0349  -0.1920  0.0241  
12       SC3        32,61,62             C,C,C                3            54.0     -0.0847  0.0094   -0.0380 
13       SP2        33,34,35,36          O,C,O,C              2            54.0     -0.3963  -0.1875  -0.0641 
14       TC3        37,58                C,C                  4            36.0     -0.6461  -0.0851  -0.0746 
15       TC5        38,43                C,C                  3            36.0     -0.7957  -0.1779  0.0507  
16       N4a        39,40,41,42          C,O,O,C              1            72.0     -0.8757  -0.4246  -0.0210 
17       TN4a       44,45                O,C                  3            36.0     -0.7512  0.0287   0.0738  
18       TN6        46,47                O,C                  3            36.0     -0.8588  0.1898   -0.0242 
19       TN4a       48,49                O,C                  3            36.0     -1.0066  0.2908   -0.1258 
20       TN2a       50,51                C,O                  1            36.0     -1.1027  0.1521   -0.3002 
21       TN6        52,53                C,O                  2            36.0     -1.2076  0.1724   -0.0463 
22       N5         54,55,56,57          C,O,C,O              2            72.0     -1.0455  0.2590   0.1608  
23       TC3        59,60                C,C                  1            36.0     -0.5758  0.1263   -0.1888 
24       N6         63,64,65,66          C,C,C,O              1            72.0     0.1407   0.1747   0.1151  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        2.0     
1        2        1.0     
1        8        1.0     
1        10       1.0     
2        3        1.0     
2        8        1.0     
3        4        1.0     
3        7        1.0     
4        5        1.0     
4        6        1.0     
6        7        1.0     
8        9        1.0     
10       11       1.0     
11       12       1.0     
12       13       1.0     
12       24       1.0     
13       14       1.0     
14       15       1.0     
14       17       1.0     
14       23       2.0     
15       16       1.0     
15       17       1.0     
17       18       1.0     
18       19       1.0     
18       22       1.0     
19       20       1.0     
19       21       1.0     
21       22       1.0     
