Compound: TPCN03691
SMILES:   C=C1C(C(C)C2CC=C(C)C(=O)O2)=CCC5(C)C1CC4(O)C5CCC6C(C)(C)OC(=O)C=CC63OC43

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        TC4        0,1                  C,C                  2            36.0     0.2344   0.0748   -0.1534 
1        SC5        2,13,14              C,C,C                3            54.0     0.1660   -0.1643  -0.0504 
2        TC3        3,4                  C,C                  2            36.0     0.4311   -0.1559  -0.1841 
3        TN4a       5,12                 C,O                  3            36.0     0.5815   -0.0594  -0.0578 
4        SC4        6,7,8,9              C,C,C,C              2            54.0     0.6579   0.0732   0.1393  
5        TN6a       10,11                C,O                  2            36.0     0.8123   -0.0451  -0.0017 
6        SC4        15,16,17             C,C,C                3            54.0     0.0598   -0.0052  0.0666  
7        N6         18,19,20,21          C,C,O,C              3            72.0     -0.1367  0.0243   -0.0834 
8        SC2        22,23,24             C,C,C                3            54.0     -0.3460  -0.0669  0.0921  
9        SC2        25,26,27             C,C,C                2            54.0     -0.6408  -0.0665  0.0013  
10       SN4a       28,29,30,31,32,33,34,35 O,C,O,C,C,C,O,C      3            54.0     -0.5065  0.1535   0.0895  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        6        1.0     
1        2        1.0     
1        6        1.0     
2        3        1.0     
3        4        1.0     
3        5        1.0     
4        5        1.0     
6        7        1.0     
7        8        1.0     
7        10       1.0     
8        9        1.0     
8        10       1.0     
9        10       1.0     
