Compound: TPCN02208
SMILES:   C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC6OCC(O)C(OC8OC(CO)C(O)C(O)C8O)C6OC7OC(CO)C(O)C(O)C7O)C3

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC3        0,1,2                C,C,C                1            54.0     0.0770   0.0016   0.2403  
1        SC3        3,31,64              C,C,C                4            54.0     0.0585   0.0310   0.0311  
2        TC3        4,5                  C,C                  2            36.0     0.3589   0.0524   -0.0420 
3        SC4        6,26,27              C,C,C                4            54.0     0.3388   -0.2185  -0.1205 
4        TC4        7,8                  C,C                  3            36.0     0.5785   -0.2318  -0.1810 
5        SN4a       9,10,11              C,O,O                2            54.0     0.7074   -0.0436  -0.1541 
6        SN4a       12,13,14             C,O,C                4            54.0     0.8506   0.1749   -0.0616 
7        TP1d       15,16                C,O                  1            36.0     0.9727   0.2893   -0.2328 
8        TN6        17,18                C,O                  2            36.0     1.0412   0.3452   0.0272  
9        TN6        19,20                C,O                  2            36.0     1.1205   0.1547   0.0911  
10       TN6        21,22                C,O                  2            36.0     1.0132   -0.0200  0.0321  
11       SC3        23,24,25             C,C,C                2            54.0     0.4846   -0.2975  0.0435  
12       SC3        28,29,30             C,C,C                2            54.0     0.0532   -0.1638  0.0076  
13       TN6        32,33                O,C                  3            36.0     -0.2166  0.0705   0.1393  
14       TN4a       34,35                O,C                  2            36.0     -0.3122  0.1097   0.3461  
15       TN6        36,37                C,O                  2            36.0     -0.5105  -0.0114  0.3395  
16       SN6        38,39,51             C,O,C                4            54.0     -0.5204  0.0906   0.1523  
17       SN4a       40,41,42             C,O,C                4            54.0     -0.7550  0.1970   -0.0294 
18       TP1d       43,44                C,O                  1            36.0     -0.6698  0.2363   -0.2599 
19       TN6        45,46                C,O                  2            36.0     -0.8271  0.4213   -0.0439 
20       TN6        47,48                C,O                  2            36.0     -0.9767  0.2730   0.0715  
21       TN6        49,50                C,O                  2            36.0     -0.7844  0.3096   0.2083  
22       TN6        52,53                O,C                  3            36.0     -0.4629  -0.0609  -0.0131 
23       TN4a       54,55                O,C                  3            36.0     -0.6418  -0.1579  -0.0761 
24       TP1d       56,57                C,O                  1            36.0     -0.6908  -0.3246  0.0931  
25       TN6        58,59                C,O                  2            36.0     -0.6225  -0.3641  -0.1958 
26       N5         60,61,62,63          C,O,C,O              2            72.0     -0.4398  -0.1640  -0.2540 

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
1        2        1.0     
1        12       1.0     
1        13       1.0     
2        3        1.0     
3        4        1.0     
3        11       1.0     
3        12       1.0     
4        5        1.0     
4        11       1.0     
5        6        1.0     
6        7        1.0     
6        8        1.0     
6        10       1.0     
8        9        1.0     
9        10       1.0     
13       14       1.0     
13       16       1.0     
14       15       1.0     
15       16       1.0     
16       17       1.0     
16       22       1.0     
17       18       1.0     
17       19       1.0     
17       21       1.0     
19       20       1.0     
20       21       1.0     
22       23       1.0     
22       26       1.0     
23       24       1.0     
23       25       1.0     
25       26       1.0     
